locationId,attribute,value
"Brooks, City [Census subdivision], Alberta",Number of Households,5045
"Brooks, City [Census subdivision], Alberta",P(Partnered Male),0.598615917
"Brooks, City [Census subdivision], Alberta",P(Partnered Female),0.591078067
"Brooks, City [Census subdivision], Alberta",Is Rural Population,FALSE
"Brooks, City [Census subdivision], Alberta",Household Size 1,1095
"Brooks, City [Census subdivision], Alberta",Household Size 2,1575
"Brooks, City [Census subdivision], Alberta",Household Size 3,875
"Brooks, City [Census subdivision], Alberta",Household Size 4,825
"Brooks, City [Census subdivision], Alberta",Household Size 5+,675
